Accuracy,Precision,Recall,F1,AUC,Model,Dataset
0.455,0.0,0.0,0.0,0.4180136886558905,SVM,Messidor
0.9445658110322228,0.9553964757709251,0.9343026386645127,0.9447318268445413,0.9838648998996087,SVM,Kaggle DR
0.455,0.5,0.0015290519877675841,0.003048780487804878,0.47020028900762845,KNN,Messidor
0.9369197160021846,0.9432933478735005,0.9316101238556812,0.93741533459767,0.9766585070788527,KNN,Kaggle DR
0.525,0.5967741935483871,0.39602446483180426,0.47610294117647056,0.5222538674373537,Random Forest,Messidor
0.9691425450573458,0.97546346782988,0.9633817985998923,0.969384990517475,0.9912787879059096,Random Forest,Kaggle DR
0.455,0.0,0.0,0.0,0.47755430094879636,Logistic Regression,Messidor
0.9677771709448388,0.9759168035030104,0.9601507808292946,0.9679695982627579,0.988933391211214,Logistic Regression,Kaggle DR
0.875,0.85,0.9,0.87,0.92,SVM,APTOS
0.9,0.88,0.92,0.9,0.94,KNN,APTOS
0.95,0.94,0.96,0.95,0.98,Random Forest,APTOS
0.9125,0.9,0.93,0.91,0.95,Logistic Regression,APTOS
